id_importador,importador
1,ABBVIE SAS.
2,ACOPEL
3,ADRIANA GALEANO SALDARRIAGA
4,ADRIANA RIVEROS RODRIGUEZ - VALENTECH
5,ADVANCE SCIENTIFIC DE COLOMBIA SAS.
6,AGAFARMA SAS
7,AL PHARMA SA.
8,AL PHARMA SAS
9,ALERGOLOGOS CLINICOS ASOCIADOS SAS.
10,ALERTENS COLOMBIA SAS
11,ALEXI BUSTOS VERGEL- VALENTECH
12,ALLIANZ GROUP SAS
13,ALLPHA SAS
14,AMAREY NOVA MEDICAL SA.
15,ANA KARINA JIMENEZ GOMEZ - VALENTECH
16,ANGELICA MARIA JURADO BOSSA
17,ANYI PAOLA NINO CASTANO
18,APROD PHARMA SAS
19,ASAC PHARMA COLOMBIA SAS
20,ASKENY COLOMBIA SAS.
21,ASOCIACION PROBIENESTAR DE LA FAMILIA COLOMBIANA-PROFAMILIA
22,ASOCIACION PROFAMILIA
23,ASP PHARMA SAS
24,ASPEN COLOMBIANA SAS
25,ASTRAZENECA COLOMBIA SAS
26,ASTRID CECILIA BUELVAS ORTIZ
27,AUDIFARMA SA.
28,AULEN PHARMA SA
29,AURELIS MARIA SARABIA LOPEZ - AUDIFARMA SA.
30,AVALON PHARMACEUTICAL SA
31,AXON COLOMBIA SAS.
32,AXON PHARMA COLOMBIA SAS.
33,AXON PHARMA SAS.
34,B BRAUN MEDICAL SA
35,BAXALTA COLOMBIA SAS
36,BAXALTA COLOMBIA SAS-GLOBAL SERVICE PHARMACEUTICAL SAS
37,BAYER SA
38,BICOL PHARMA
39,BIOCARE LATAM SAS
40,BIODOS PHARMA SAS
41,BIOMEDICAL PHARMA LTDA
42,BIOMEDICAL PHARMA SAS
43,BIONE PHARMA SAS
44,BIOSIDUS COLOMBIA SAS
45,BIOSPIFAR SA.
46,BIOTOSCANA FARMA SA.
47,BLANCA MARINA PENA HIDALGO-ROCKA INTERNATIONAL SOLUTIONS
48,BLAU FARMACEUTICA COLOMBIA SAS
49,BOEHRINGER INGELHEIM SA.
50,BR PHARMA INTERNATIONAL SAS.
51,BRAINPHARMA SAS
52,BRISTOL MYERS SQUIBB DE COLOMBIA SA.
53,CALIER FARMACEUTICA DE COLOMBIA SA.
54,CAPLIN POINT LABORATORIES COLOMBIA SAS
55,CARLOS GARCIA ZULETA - VALENTECH
56,CATALINA GONZALEZ GONZALEZ -VALENTECH
57,CLARA MARIA NORENA GIRALDO
58,CLAUDIA CECILIA CASTANO TAMAYO - VALENTECH
59,CLAUDIA PATRICIA MOLINA GONZALEZ - ABBVIE SAS
60,CLIC MARKETING SAS.
61,CLINICA FOSCAL
62,CLOSTER PHARMA SAS
63,CO - ENLACE SAS
64,COMERCIAL LIFEFACTORS SAS
65,COOPERATIVA EPSIFARMA
66,CREATIVE MEDICAL HEALTH SAS
67,CSL BEHRING COLOMBIA SAS
68,CVS SAS CENTRO DE VACUNAS SPEICES
69,CYNDI PAOLA ROMERO OYOLA
70,CYTOBIOTECK SAS.
71,DANIEL FELIPE CASTANEDA
72,DIANA MARGARITA CABRALES GUARDO - VALENTECH
73,DIS-HOSPITAL SAS
74,DISTOLOZA FARMA SAS
75,DISTRIBUIDORA DE MEDICAMENTOS E INSUMOS HOSPITALARIOS DEL VALLE SAS DISTRIMEIN SAS
76,DISTRIBUIDORA GLX SAS
77,DISTRIMEIN DEL VALLE SAS.
78,DISTRIMEIN SAS.
79,DR REDDYS LABORATORIES SAS
80,DUMIAN MEDICAL
81,DUMIAN MEDICAL SAS
82,ELI LILLY INTERAMERICA INC
83,ELIXYM BIOPHARMACEUTICAL SAS
84,ELIZABETH AMAYA ARBOLEDA - AMGEN BIOTECNOLOGICA SAS
85,EMILY PAOLA BLANCO DIAVANERA- VALENTECH
86,EPICUROFARMA SAS.
87,EVOLUCIA SAS
88,EXELTIS SAS
89,FARMA VITA SAS
90,FAST PHARMA SAS
91,FCVPHARMA
92,FELIRNI LABS SAS
93,FEPARVI LABORATORIOS
94,FEPARVI SAS
95,FISHER CLINICAL SERVICES SAS
96,FMK ALLPHA LABS SAS
97,FMK FARMAKO SAS
98,FRESENIUS KABI COLOMBIA SAS.
99,FUNCOLEHF - ASTRAZENECA COLOMBIA SAS
100,FUNCOLEHF - AUDIFARMA SA.
101,FUNCOLEHF - FUNDACION COLOMBIANA PARA ENFERMEDADES HUERFANAS
102,FUNDACION COLOMBIANA PARA CANCER DE PULMON (INSPIRAT) - AMGEN
103,FUNDACION COLOMBIANA PARA DISTROFIA MUSCULAR - FCDM
104,FUNDACION COLOMBIANA PARA FIBROSIS QUISTICA - FIQUIRES
105,FUNDACION COLOMBIANA PARA FIBROSIS QUISTICA - VALENTECH PHARMA
106,GADALPHARMA INTERNACIONAL SAS
107,GASES INDUSTRIALES DE COLOMBIA SA (CRYOGAS)
108,GENBIE SAS
109,GENERICS & BRANDS SAS
110,GENFAR SA.
111,GESTIFARMA SAS - PFIZER SAS
112,GESTIFARMA SAS.
113,GLAZ GROUP SAS
114,GLOBAL MARKET ALLIANCE SAS.
115,GLOBAL SERVICE PHARMACEUTICAL SAS - ASTRAZENECA
116,GLOBAL SERVICE PHARMACEUTICAL SAS - AUDIFARMA SA.
117,GLOBAL SERVICE PHARMACEUTICAL SAS - VALENTECH
118,GLOBAL SERVICE PHARMACEUTICAL SAS.
119,GLOBAL SERVICE PHARMACEUTICAL SAS.- MULTICARE
120,GLOBAL THERAPEUTICS SAS
121,GLOBAL THERAPEUTICS SAS - GLOBAL MARKET ALLIANCE SAS.
122,GPC PHARMA SAS
123,GREEN BUTTON SAS
124,GREEN RABBIT SAS
125,GRUPHAR INTERNATIONAL SAS
126,GRUPO MEDIKA SAS.
127,HB HUMAN BIOSCIENCE SAS.
128,HEALTH NET SAS
129,HEIDY JOHANNA HERRENO VARELA - VALENTECH
130,HENRY SEGURA ALVAREZ-VALENTECH
131,HOLLAND GROUP SAS
132,HOSPITAL UNIVERSITARIO FUNDACION SANTA FE DE BOGOTA
133,I D PHARMA LAB
134,IDPHARMA-LAB SAS
135,IMED ORPHAN SAS
136,IMPHA SAS
137,IMPORTRANS RADIACTIVOS LTDA.
138,IMPROVIT MEDICAL SAS
139,INHEALTH PHARMA SAS
140,INMUNOTEK COLOMBIA SAS.
141,INNOVEX INTERNATIONAL SAS
142,INPHAPRO SAS - ASTRAZENECA SAS
143,INPHAPRO SAS - IMED ORPHAN SAS
144,INPHAPRO SAS - ORPHANDC G COL SAS
145,INPHAPRO SAS - SALUTIS SAS
146,INPHAPRO SAS - UNO HEALTHCARE SAS
147,INTERNATIONAL CONSULTING NETWORK SAS
148,INTERNATIONAL PHARMACEUTICAL PRODUCTS SAS (INPHAPRO SAS)
149,INVERSIONES PLAMATECH LTDA
150,ISOMEDIX TECHNOLOGY SAS
151,JAASIEL SAS - DROGUERIAS Y FARMACIAS CRUZ VERDE SAS
152,JAASIEL SAS - ONCOLOGY HEALTH PHARMACEUTICALS SAS
153,JAASIEL SAS - ORPHANDC G COL SAS
154,JAASIEL SAS - PINT PHARMA COLOMBIA SAS
155,JAINNA ARCHILA GONZALEZ -VALENTECH
156,JANSSEN CILAG SA.
157,JENNER PHARMA SAS
158,JENNYFER ANDREA DUARTE GONZALEZ - VALENTECH
159,JHON ALEXANDER LANCHEROS MARINEZ -VALENTECH
160,JHONNY ENRIQUE CASTRO GARCIA
161,JORGE LUIS GUZMAN OSORIO - VALENTECH
162,JUAN PABLO FERNANDEZ FALLA - VALENTECH
163,JULIANA ALEJANDRA CORREAL VELEZ - VALENTECH
164,JULIO MANUEL ARIZA SARMIENTO - CRUZ VERDE
165,KARINA ARIZA MENDOZA - VALENTECH PHARMA DE COLOMBIA SAS
166,LA CASA DE LA SALUD BARRANQUILLA
167,LABORATORIO EUFAR SA
168,LABORATORIOS BAGO DE COLOMBIA SAS
169,LABORATORIOS BAXTER SA.
170,LABORATORIOS BIOPAS SA.
171,LABORATORIOS DELTA SAS
172,LABORATORIOS MEDIFARMA SAS.
173,LABORATORIOS MINTLAB SAS
174,LEBEN ZU RETTEN SAS
175,LEIDY JASMIN CIPAMOCHA GUTIERREZ
176,LEIDY JOHANNA RODRIGUEZ JAMIOY - VALENTECH
177,LIAM DAVID PERALTA CORDERO
178,LINA ROSA PRADO GALINDO - VALENTECH
179,LINK PHARMA SAS
180,LUIS ALBERTO GAITAN DE ARMAS - VALENTECH
181,LUIS ALFREDO PINEDA LLACTA
182,LUIS EDUARDO BARRIOS PENA - VALENTECH
183,LUIS FERNANDO DUQUE SUAREZ
184,LUMEX PHARMA SAS
185,MADHOS SAS.
186,MARGARITA ROSA BOTERO ORTIZ - HB HUMAN BIOSCIENCE SAS
187,MARIA ALICIA MEBARAK DE YUNIS - AMGEN BIOTECNOLOGICA SAS
188,MARIA OLIVA ARIAS DE LONDONO
189,MARISOL HENAO ARAQUE - VALENTECH
190,MARSIA MELISSA ZARATE GUTIERREZ - VALENTECH
191,MARTHA MILENA TORO MORA - AUDIFARMA SA.
192,MARTHA PATRICIA PENUELA DAZA-AMGEN BIOTECNOLOGICA SAS
193,MARTHA VIVIANA CUERVO CASTANO - VALENTECH
194,MEDICAL DUARTE ZF SAS
195,MEDICAL KIT LTDA.
196,MEDICAR SUPPLY SAS
197,MEDIS PHARMA COLOMBIA SAS
198,MEGA LTDA
199,MEGALABS COLOMBIA SAS
200,MEIBY DANIELA JAIMES JAIMES - ABBVIE SAS
201,MERCK SHARP AND DOHME COLOMBIA SAS
202,MESPHARMA SAS
203,MESSER COLOMBIA SA.
204,MULTICARE PHARMACEUTICALS COLOMBIA SAS
205,MUNDIPHARMA COLOMBIA SAS.
206,NATALIA SANCHEZ RAMOS - AUDIFARMA SA
207,NEXT PHARMA SOURCING SAS.
208,NORA HELIA VELASQUEZ GAITAN - VALENTECH
209,NOVAMED SA
210,NOVAMED SAS
211,NOVAPHARMA SAS
212,NOVARTIS DE COLOMBIA SA.
213,NUCLEOFARMA SAS.
214,NUEVA EPS
215,NUTRABIOTICS SAS
216,OLGA LUCIA JARAMILLO VERGARA
217,ONE LATAM PHARMA SAS
218,ONTARIO PHARMA SAS
219,OPEN PHARMACEUTICAL OPPORTUNITIES SAS - INNOVEX INTERNATIONAL SAS
220,ORPHAN DRUGS PHARMACEUTICALS SAS.
221,ORPHANDRUGS PHARMACEUTICALS SAS.
222,OSCAR ANDRES PADILLA RESTREPO - VALENTECH
223,OXIGENOS DE COLOMBIA LTDA
224,PARAGON FARMA SAS
225,PENTAPHARMA SAS
226,PERSONA NATURAL
