id_medicamento,ium,principio_activo,nombre_comercial,forma_farmaceutica,concentracion,unidad_medida,presentacion_comercial,es_combinado
1,1A1000101000100,ASFOTASA ALFA,STRENSIQ,SOLUCION INYECTABLE,"80/0,8",MG/ML,CAJA X 1 VIAL,0
2,1A1000101000101,ASFOTASA ALFA,STRENSIQ,SOLUCION INYECTABLE,40,MG/ML,"CAJA X 1 VIAL X 0,45 ML",0
3,1A1000101000102,ASFOTASA ALFA,STRENSIQ,SOLUCION INYECTABLE,40,MG/ML,"VIAL X 0,7 ML",0
4,1A1000101000103,ASFOTASA ALFA,STRENSIQ,SOLUCION INYECTABLE,40,MG/ML,CAJA X 1 VIAL X 1 ML,0
5,1A1000101000104,ASFOTASA ALFA,STRENSIQ,SOLUCION INYECTABLE,40,MG/ML,CAJA X 12 VIALES X 1 ML,0
6,1A1000101000105,ASFOTASA ALFA,STRENSIQ,SOLUCION INYECTABLE,"28/0,7",MG/ML,"CAJA X 12 VIALES X 0,7 ML",0
7,1A1000101000106,ASFOTASA ALFA,STRENSIQ,SOLUCION INYECTABLE,40,MG/ML,CAJA X 12 VIALES X 0.45 ML,0
8,1A1000111000101,ASFOTASA ALFA,STRENSIQ,SOLUCION INYECTABLE,"28/0,7",MG/ML,CAJA X 12 VIALES,0
9,1A1000141000100,ATALUREN,TRANSLARNA,POLVO GRANULADO PARA RECONSTITUIR A SUSPENSION ORAL,250,MG,CAJAS X 30 SOBRES,0
10,1A1000281000100,AZUL DE METILENO,HB METHYLBLUE,SOLUCION INYECTABLE,10,MG/ML,CAJAS X 10 VIALES DE 5 ML CADA UNO,0
11,1A1000281000101,AZUL DE METILENO,HB METHYLBLUE,SOLUCION INYECTABLE,10,MG/ML,CAJAS X 5 AMPOLLAS DE 5ML,0
12,1A1000281001100,AZUL DE METILENO,BLUMET,SOLUCION INYECTABLE,10,MG/ML,CAJAS X 1 AMPOLLA X 10 ML,0
13,1A1000281002100,AZUL DE METILENO,BLUE BEAM,SOLUCION INYECTABLE,10,MG/ML,CAJAS X 5 VIALES,0
14,1A1000281003100,AZUL DE METILENO,HOLLAND GROUP,SOLUCION INYECTABLE,10,MG/ML,CAJA X 10 AMPOLLAS DE 10 ML,0
15,1A1000281005100,AZUL DE METILENO,BLUESSENS,SOLUCION INYECTABLE,10,MG/ML,CAJAS X 5 AMPOLLAS X 10 ML,0
16,1A1000281006100,AZUL DE METILENO,NO REPORTADO,SOLUCION INYECTABLE,10,MG/ML,"ESTUCHES, CADA UNO CON CINCO (5) AMPOLLAS POR 10 ML",0
17,1A1000281008100,AZUL DE METILENO,BLUCAN,SOLUCION INYECTABLE,10,MG/ML,CAJA X 5 AMPOLLAS DE 10 ML,0
18,1A1000281009100,AZUL DE METILENO,NO REPORTADO,SOLUCION INYECTABLE,10,MG/ML,CAJAS X 5 AMPOLLAS,0
19,1A1000281012100,AZUL DE METILENO,NO REPORTADO,SOLUCION INYECTABLE,10,MG/ML,CAJAS POR 5 AMPOLLAS DE 5ML,0
20,1A1000281012101,AZUL DE METILENO,NO REPORTADO,SOLUCION INYECTABLE,10,MG/ML,CAJA X 10 AMPOLLAS DE 5 ML,0
21,1A1000281013100,AZUL DE METILENO,MEBLU - N,SOLUCION INYECTABLE,10,MG/ML,CAJAS X 1 AMPOLLA DE 10 ML,0
22,1A1000281014100,AZUL DE METILENO,NO REPORTADO,SOLUCION INYECTABLE,10,MG/ML,CAJA X 5 AMPOLLAS X 10 ML,0
23,1A1000281014101,AZUL DE METILENO,NO REPORTADO,SOLUCION INYECTABLE,10,MG/ML,CAJAS X 10 AMPOLLAS DE 5 ML,0
24,1A1000281015101,AZUL DE METILENO,NO REPORTADO,SOLUCION INYECTABLE,10,MG/ML,CAJAS X 10 AMPOLLAS DE 5 ML,0
25,1A1000281016100,AZUL DE METILENO,VETMED,SOLUCION INYECTABLE,10,MG/ML,CAJA X 5 AMPOLLAS X 5 ML,0
26,1A1000321000100,ANAKINRA,KINERET,SOLUCION INYECTABLE,149.25,MG/ML,CAJA X 28 JERINGAS PRELLENADAS,0
27,1A1000321000102,ANAKINRA,KINERET,SOLUCION INYECTABLE,149.25,MG/ML,"CAJAS X 7 JERINGAS PRELLENADAS X 0,67 ML",0
28,1A100101000101,ASFOTASA ALFA,STRENSIQ,SOLUCION INYECTABLE,40,MG/ML,"CAJA X 1 VIAL X 0,45 ML",0
29,1A100101000102,ASFOTASA ALFA,STRENSIQ,SOLUCION INYECTABLE,40,MG/ML,"CAJA X 1 VIAL X 0,70 ML",0
30,1A1001061000100,ANAGRELIDE,AGRYLIN,CAPSULA,0.5,MG,FRASCO X 100 CAPSULAS,0
31,1A1001061001100,ANAGRELIDE,AGRYLIN,CAPSULA,0.5,MG,FRASCO X 100 CAPSULAS,0
32,1A1001061004100,ANAGRELIDE,AGRYLIN,CAPSULA,0.5,MG,FRASCO X 100 CAPSULAS,0
33,1A1001071000,ANAGRELIDE,ANAGRELIDE,CAPSULA,1,MG,NO REPORTADO,0
34,1A1001071001100,ANAGRELIDE,TEVA,CAPSULA,1,MG,FRASCO X 100 CAPSULAS,0
35,1A100141000100,ATALUREN,TRANSLARNA,POLVO GRANULADO PARA RECONSTITUIR A SUSPENSION ORAL,250,MG,CAJA X 30 SOBRES,0
36,1A1001611000100,AMILORIDE,MODAMIDE,TABLETA,5,MG,CAJAS X 30 TABLETAS,0
37,1A1001701000100,ATALUREN,TRANSLARNA,POLVO GRANULADO PARA RECONSTITUIR A SUSPENSION ORAL,1000,MG,CAJAS X 30 SOBRES,0
38,1A100171000100,ATALUREN,TRANSLARNA,POLVO GRANULADO PARA RECONSTITUIR A SUSPENSION ORAL,125,MG,CAJA X 30 SOBRES,0
39,1A1001711000100,ATALUREN,TRANSLARNA,POLVO GRANULADO PARA RECONSTITUIR A SUSPENSION ORAL,125,MG,CAJAS X 30 SOBRES,0
40,1A1001761000100,ANAGRELIDE,TEVA,CAPSULA,0.5,MG,FRASCO X 100 CAPSULAS,0
41,1A1001761000101,ANAGRELIDE,TEVA,CAPSULA,0.5,MG,FRASCO X 100 CAPSULAS,0
42,1A1003101000101,ANAKINRA,KINERET,SOLUCION INYECTABLE,"100/0,67",MG/ML,CAJA X 28 JERINGAS PRELLENADAS,0
43,1A1003901000101,EXTRACTOS ALERGENICOS - D PTERONYSSINUS 100%,ALXOID,SUSPENSION INYECTABLE,10000,UT/ML,ESTUCHES X 2 VIALES DE 3ML,0
44,1A1003901000102,D PTERONYSSINUS 100%,ALXOID,SUSPENSION INYECTABLE,10000,UT/ML,ESTUCHES X 20 VIALES X 3 ML,0
45,1A1003951002100,L-ASPARAGINASA E COLI,LEUCOGINASE,POLVO LIOFILIZADO PARA RECONSTITUIR A SOLUCION INYECTABLE,1000,UI/ML,CAJAS X 1 VIAL X 10 ML,0
46,1A1003951003100,L-ASPARAGINASA E COLI,NO REPORTADO,POLVO LIOFILIZADO PARA RECONSTITUIR A SOLUCION INYECTABLE,1000,UI/ML,CAJAS X 1 VIAL,0
47,1A1003951004100,L-ASPARAGINASA (AISLADA DE E COLI),ASPAROMA,POLVO LIOFILIZADO PARA RECONSTITUIR A SOLUCION INYECTABLE,1000,UI/ML,VIALES,0
48,1A1003951005100,L-ASPARAGINASA E COLI,ONCONASE 10,POLVO LIOFILIZADO PARA RECONSTITUIR A SOLUCION INYECTABLE,1000,UI/ML,CAJAS X 1 VIAL X 10 ML,0
49,1A1003951006100,L-ASPARAGINASA (AISLADA DE E COLI),ONCONASE,POLVO LIOFILIZADO PARA RECONSTITUIR A SOLUCION INYECTABLE,10000,UI/VIAL,CAJAS X 1 VIAL,0
50,1A1003951007100,L-ASPARAGINASA,CHRYSANTA,POLVO LIOFILIZADO PARA RECONSTITUIR A SOLUCION INYECTABLE,1000,UI/ML,VIAL X 10 ML,0
51,1A1003951008100,ASPARAGINASA (ECOLI),BRUGINASE,POLVO LIOFILIZADO PARA RECONSTITUIR A SOLUCION INYECTABLE,1000,UI/ML,CAJAS X 1 VIAL DE 10 ML,0
52,1A1004051000100,EXTRACTOS ALERGENICOS,ALXOID,SOLUCION INYECTABLE,10000,UI/ML,VIAL 3 ML,0
53,1A1004051000101,EXTRACTOS ALERGENICOS - BLOMIA TROPICALIS 100%,ALXOID,SUSPENSION INYECTABLE,10000,UT/ML,ESTUCHES X 2 VIALES DE 3ML,0
54,1A1004051000102,BLOMIA TROPICALIS 100%,ALXOID,SUSPENSION INYECTABLE,10000,UT/ML,ESTUCHES X 20 VIALES DE 3ML,0
55,1A1004061000101,EXTRACTOS ALERGENICOS - D FARINAE 100%,ALXOID,SUSPENSION INYECTABLE,10000,UT/ML,ESTUCHES X 2 VIALES DE 3ML,0
56,1A1004071000101,EXTRACTOS ALERGENICOS - MEZCLA 6 GRAMINEAS 100%,ALXOID,SUSPENSION INYECTABLE,10000,UT/ML,ESTUCHES X 2 VIALES DE 3ML,0
57,1A1004071000102,MEZCLA GRAMINEAS 100%,ALXOID,SUSPENSION INYECTABLE,10000,UT/ML,ESTUCHES X 20 VIALES X 3 ML,0
58,1A1004151001101,ALERGENO CUPRESSUS SEMPERVIRENS,ORALTEK,SOLUCION ORAL,30000,UT/ML,ESTUCHE X 1 FRASCO ATOMIZADOR X 6 ML,0
59,1A1004201001100,EXTRACTOS ALERGENICOS,ALXOID - ORALTEK,SOLUCION PERLINGUAL,VARIAS,VARIAS,VIAL 3 ML; VIAL ATOMIZADOR SPRAY 6 ML,0
60,1A1004211000101,HORMIGA ROJA,ORALTEK,SOLUCION SUBLINGUAL,30000,UT/ML,ESTUCHES X UN (1) VIAL DE 6ML,0
61,1A1004241000101,EPITELIO DE PERRO,ORALTEK,SOLUCION SUBLINGUAL,30000,UT/ML,ESTUCHE X 1 ATOMIZADOR X 6 ML,0
62,1A1004371000100,ACITRETINA,NEOTIGASON,CAPSULA,10,MG,CAJAS X 30 CÁPSULAS,0
63,1A1004371003100,ACITRETINA,NO REPORTADO,CAPSULA,10,MG,FRASCOS. CADA FRASCO CON 30 CAPSULAS,0
64,1A1005551000100,L-ASPARAGINASA (AISLADA DE E COLI),NO REPORTADO,POLVO LIOFILIZADO PARA RECONSTITUIR A SOLUCION INYECTABLE,10000,UI/VIAL,CAJAS X 1 VIAL,0
65,1A1005551001,ASPARAGINASA ERWINIA,ERWINASE,POLVO PARA DISOLUCION,10000,UI,NO REPORTADO,0
66,1A1005551001100,ASPARAGINASA ERWINIA,ERWINASE,POLVO LIOFILIZADO PARA RECONSTITUIR A SOLUCION INYECTABLE,10000,UI,CAJAS X 5 VIALES,0
67,1A1005551002100,ASPARAGINASA ERWINIA,NO REPORTADO,POLVO LIOFILIZADO PARA RECONSTITUIR A SOLUCION INYECTABLE,10000,UI,CAJAS X 1 VIAL,0
